time,torque,angle,rpm,step,step,torque,angle
0,0,0,0,1,1,0.241,16259
0.5,0.0,0,0,1,2,2.641,389
1.0,0.0,0,0,1,,,
1.5,0.0,0,0,1,,,
2.0,0.0,0,0,1,,,
2.5,0.0,0,0,1,,,
3.0,0.0,0,0,1,,,
3.5,0.0,0,0,1,,,
4.0,0.0,0,0,1,,,
4.5,0.0,0,0,1,,,
5.0,0.0,0,0,1,,,
5.5,0.0,0,0,1,,,
6.0,0.0,0,0,1,,,
6.5,0.0,0,0,1,,,
7.0,0.0,0,0,1,,,
35.5,0.0,3,46,1,,,
36.0,0.0,4,46,1,,,
36.5,0.0,4,48,1,,,
37.0,0.0,4,48,1,,,
37.5,0.0,4,50,1,,,
38.0,0.0,4,50,1,,,
38.5,0.0,4,51,1,,,
39.0,0.0,5,51,1,,,
39.5,0.0,5,55,1,,,
40.0,0.0,5,55,1,,,
40.5,0.0,5,56,1,,,
41.0,0.0,5,56,1,,,
41.5,0.0,6,59,1,,,
42.0,0.0,6,59,1,,,
42.5,0.0,6,61,1,,,
43.0,0.0,6,61,1,,,
43.5,0.0,6,64,1,,,
44.0,0.0,7,64,1,,,
44.5,0.0,7,64,1,,,
45.0,0.0,7,64,1,,,
45.5,0.0,7,67,1,,,
46.0,0.0,7,67,1,,,
46.5,0.0,8,69,1,,,
47.0,0.0,8,69,1,,,
47.5,0.0,8,70,1,,,
48.0,0.0,8,70,1,,,
48.5,0.0,9,72,1,,,
49.0,0.0,9,72,1,,,
49.5,0.0,9,74,1,,,
50.0,0.0,9,74,1,,,
50.5,0.0,9,76,1,,,
51.0,0.0,10,76,1,,,
51.5,0.0,10,76,1,,,
52.0,0.0,10,76,1,,,
52.5,0.0,10,79,1,,,
53.0,0.0,11,79,1,,,
53.5,0.0,11,81,1,,,
54.0,0.0,11,81,1,,,
54.5,0.0,12,82,1,,,
55.0,0.0,12,82,1,,,
55.5,0.0,12,85,1,,,
56.0,0.0,12,85,1,,,
56.5,0.0,13,87,1,,,
57.0,0.0,13,87,1,,,
57.5,0.0,13,89,1,,,
58.0,0.0,14,89,1,,,
58.5,0.0,14,92,1,,,
59.0,0.0,14,92,1,,,
59.5,0.0,14,95,1,,,
60.0,0.0,15,95,1,,,
60.5,0.0,15,96,1,,,
61.0,0.0,15,96,1,,,
61.5,0.0,16,100,1,,,
62.0,0.0,16,100,1,,,
62.5,0.0,16,103,1,,,
63.0,0.0,17,103,1,,,
63.5,0.0,17,106,1,,,
64.0,0.0,17,106,1,,,
64.5,0.0,18,108,1,,,
65.0,0.0,18,108,1,,,
65.5,0.0,18,111,1,,,
66.0,0.0,19,111,1,,,
66.5,0.0,19,113,1,,,
67.0,0.0,20,113,1,,,
67.5,0.0,20,114,1,,,
68.0,0.0,20,114,1,,,
68.5,0.0,21,115,1,,,
69.0,0.0,21,115,1,,,
69.5,0.0,21,118,1,,,
70.0,0.0,22,118,1,,,
70.5,0.0,22,121,1,,,
71.0,0.0,23,121,1,,,
71.5,0.0,23,122,1,,,
72.0,0.0,23,122,1,,,
72.5,0.0,24,126,1,,,
73.0,0.0,24,126,1,,,
73.5,0.0,25,128,1,,,
74.0,0.0,25,128,1,,,
74.5,0.0,25,131,1,,,
75.0,0.0,26,131,1,,,
75.5,0.0,26,133,1,,,
76.0,0.0,27,133,1,,,
76.5,0.0,27,135,1,,,
77.0,0.0,28,135,1,,,
77.5,0.0,28,138,1,,,
78.0,0.0,28,138,1,,,
78.5,0.0,29,140,1,,,
79.0,0.0,29,140,1,,,
79.5,0.0,30,141,1,,,
80.0,0.0,30,141,1,,,
80.5,0.0,31,144,1,,,
81.0,0.0,31,144,1,,,
81.5,0.0,32,147,1,,,
82.0,0.0,32,147,1,,,
82.5,0.0,32,148,1,,,
83.0,0.0,33,148,1,,,
83.5,0.0,33,152,1,,,
84.0,0.0,34,152,1,,,
84.5,0.0,34,156,1,,,
85.0,0.0,35,156,1,,,
85.5,0.0,35,157,1,,,
86.0,0.0,36,157,1,,,
86.5,0.0,36,159,1,,,
87.0,0.0,37,159,1,,,
87.5,0.0,37,161,1,,,
88.0,0.0,38,161,1,,,
88.5,0.0,38,163,1,,,
89.0,0.0,39,163,1,,,
89.5,0.0,39,165,1,,,
90.0,0.0,40,165,1,,,
90.5,0.0,40,167,1,,,
91.0,0.0,41,167,1,,,
91.5,0.0,42,168,1,,,
92.0,0.0,42,168,1,,,
92.5,0.0,43,171,1,,,
93.0,0.0,43,171,1,,,
93.5,0.0,44,173,1,,,
94.0,0.0,44,173,1,,,
94.5,0.0,45,177,1,,,
95.0,0.0,45,177,1,,,
95.5,0.0,46,179,1,,,
96.0,0.0,46,179,1,,,
96.5,0.0,47,183,1,,,
97.0,0.0,48,183,1,,,
97.5,0.0,48,185,1,,,
98.0,0.0,49,185,1,,,
98.5,0.0,49,187,1,,,
99.0,0.0,50,187,1,,,
99.5,0.0,51,189,1,,,
100.0,0.0,51,189,1,,,
100.5,0.0,52,192,1,,,
101.0,0.0,52,192,1,,,
101.5,0.0,53,193,1,,,
102.0,0.0,54,193,1,,,
102.5,0.0,54,196,1,,,
103.0,0.0,55,196,1,,,
103.5,0.0,55,199,1,,,
104.0,0.0,56,199,1,,,
104.5,0.0,57,202,1,,,
105.0,0.0,57,202,1,,,
105.5,0.0,58,203,1,,,
106.0,0.0,59,203,1,,,
106.5,0.0,59,206,1,,,
107.0,0.0,60,206,1,,,
107.5,0.0,60,209,1,,,
108.0,0.0,61,209,1,,,
108.5,0.0,62,210,1,,,
109.0,0.0,62,210,1,,,
109.5,0.0,63,212,1,,,
110.0,0.0,64,212,1,,,
110.5,0.0,64,215,1,,,
111.0,0.0,65,215,1,,,
111.5,0.0,66,217,1,,,
112.0,0.0,66,217,1,,,
112.5,0.0,67,219,1,,,
113.0,0.0,68,219,1,,,
113.5,0.0,68,222,1,,,
114.0,0.0,69,222,1,,,
114.5,0.0,70,223,1,,,
115.0,0.0,71,223,1,,,
