time,torque,angle,rpm,step
114.5,0.21,6,33,1
115.0,0.21,6,33,1
115.5,0.17,6,33,1
116.0,0.21,6,33,1
116.5,0.21,6,33,1
117.0,0.24,6,34,1
117.5,0.21,6,34,1
118.0,0.21,6,34,1
118.5,0.24,6,35,1
119.0,0.21,6,35,1
119.5,0.21,6,37,1
120.0,0.24,7,37,1
120.5,0.24,7,37,1
121.0,0.21,7,37,1
121.5,0.24,7,37,1
122.0,0.21,7,39,1
122.5,0.21,7,39,1
123.0,0.24,7,39,1
123.5,0.27,7,39,1
124.0,0.21,7,39,1
124.5,0.24,7,40,1
125.0,0.24,7,40,1
125.5,0.24,8,40,1
126.0,0.24,8,40,1
126.5,0.27,8,40,1
127.0,0.24,8,41,1
127.5,0.27,8,41,1
128.0,0.24,8,41,1
128.5,0.24,8,41,1
129.0,0.32,8,41,1
129.5,0.3,8,43,1
130.0,0.3,9,43,1
130.5,0.3,9,43,1
131.0,0.27,9,43,1
131.5,0.32,9,43,1
132.0,0.3,9,43,1
132.5,0.3,9,43,1
133.0,0.3,9,43,1
133.5,0.32,9,44,1
143.0,0.48,14,53,1
143.5,0.45,14,54,1
144.0,0.48,14,54,1
144.5,0.48,14,55,1
145.0,0.45,15,55,1
145.5,0.48,15,55,1
146.0,0.48,15,55,1
146.5,0.48,15,55,1
147.0,0.51,15,56,1
147.5,0.54,15,56,1
148.0,0.45,15,56,1
148.5,0.51,16,56,1
149.0,0.48,16,56,1
149.5,0.57,16,56,1
150.0,0.51,16,56,1
150.5,0.51,16,56,1
151.0,0.51,16,56,1
151.5,0.54,16,56,1
152.0,0.54,16,57,1
152.5,0.6,17,57,1
153.0,0.6,17,57,1
153.5,0.6,17,57,1
154.0,0.57,17,57,1
154.5,0.6,17,57,1
155.0,0.57,17,57,1
155.5,0.6,17,57,1
156.0,0.6,18,58,1
156.5,0.6,18,58,1
157.0,0.62,18,58,1
157.5,0.6,18,58,1
158.0,0.62,18,58,1
158.5,0.62,18,57,1
159.0,0.65,18,57,1
159.5,0.68,19,58,1
160.0,0.65,19,58,1
160.5,0.65,19,58,1
161.0,0.62,19,58,1
161.5,0.65,19,58,1
162.0,0.65,19,58,1
162.5,0.65,19,58,1
163.0,0.65,20,58,1
163.5,0.65,20,58,1
164.0,0.65,20,58,1
164.5,0.68,20,58,1
165.0,0.68,20,58,1
165.5,0.65,20,58,1
166.0,0.65,20,58,1
166.5,0.71,20,58,1
167.0,0.68,21,58,1
167.5,0.68,21,58,1
168.0,0.68,21,58,1
