0,0.0,0,12,18.8,1,0.013,4961
2,0.01,1,43,15.200000000000001
4,0.01,2,57,8.5
6,0.006,2,60,4.800000000000001
8,0.005,3,62,3.0
10,0.006,4,66,9.1
12,0.013,5,80,9.1
14,0.006,6,84,3.0
16,0.006,7,86,1.8
18,0.006,8,85,1.8
20,0.005,9,89,0.0
22,0.008,10,102,0.0
24,0.008,11,109,0.0
26,0.005,13,113,1.2000000000000002
28,0.005,14,113,0.6000000000000001
30,0.005,15,115,8.5
32,0.006,17,122,8.5
34,0.002,18,126,7.300000000000001
36,0.003,20,126,6.0
38,0.003,21,126,4.800000000000001
40,0.002,23,127,4.2
42,0.002,24,125,4.2
44,0.002,26,124,2.4000000000000004
46,0.002,27,121,2.4000000000000004
48,0.002,29,120,0.0
50,0.003,30,118,0.0
52,0.0,32,119,0.6000000000000001
54,0.002,33,118,0.0
56,0.0,35,116,3.6
58,0.002,36,116,3.6
60,0.002,37,114,3.6
62,0.002,39,114,4.2
64,0.002,40,113,3.6
66,0.002,41,111,4.2
68,0.003,43,111,3.6
70,0.002,44,110,3.6
72,0.0,48,107,1.8
74,0.0,49,107,0.0
76,0.0,50,106,0.0
78,0.003,51,107,0.0
80,0.002,53,107,0.0
82,0.0,54,106,2.4000000000000004
84,0.0,55,106,4.2
86,0.002,56,105,3.6
88,0.002,58,105,4.800000000000001
90,0.002,59,105,3.6
92,0.002,60,104,4.800000000000001
94,0.0,61,104,4.2
96,0.002,64,104,2.4000000000000004
98,0.002,66,103,1.8
100,0.002,67,101,1.8
102,0.0,68,101,0.0
104,0.002,69,101,0.0
106,0.002,70,102,0.0
108,0.003,72,103,0.6000000000000001
110,0.003,73,102,0.0
112,0.0,74,102,4.2
114,0.0,75,101,3.6
116,0.0,77,101,4.2
118,0.002,78,102,4.800000000000001
120,0.0,79,101,3.6
122,0.003,80,100,4.2
124,0.0,81,102,3.6
126,0.002,83,102,3.6
128,0.002,84,101,2.4000000000000004
130,0.002,85,101,1.8
132,0.002,86,99,1.8
134,0.002,88,99,0.0
136,0.002,89,100,0.0
138,0.0,90,101,0.0
140,0.002,91,102,0.0
142,0.0,92,101,0.0
144,0.002,94,101,4.2
146,0.0,95,100,3.6
148,0.003,96,99,3.6
150,0.002,97,100,4.800000000000001
152,0.002,98,100,4.2
154,0.005,100,100,4.2
156,0.002,101,100,3.6
158,0.002,102,101,3.0
160,0.003,103,101,2.4000000000000004
162,0.002,105,101,1.8
164,0.002,106,99,1.8
166,0.003,107,99,0.0
168,0.002,108,99,0.0
170,0.0,117,100,4.2
172,0.002,118,100,3.6
174,0.002,119,99,4.2
176,0.003,120,100,4.2
178,0.0,121,100,3.0
180,0.003,123,100,3.0
182,0.002,124,100,1.8
184,0.002,125,99,1.8
186,0.003,126,98,0.0
188,0.003,127,99,0.0
190,0.0,129,98,0.0
192,0.0,130,100,0.0
194,0.003,131,100,0.0
196,0.0,132,100,1.8
198,0.002,133,100,4.2
200,0.002,135,99,3.6
202,0.003,136,100,4.2
204,0.002,137,100,4.800000000000001
206,0.003,138,100,4.2
208,0.002,139,100,4.2
210,0.003,141,100,3.6
212,0.0,142,100,3.6
214,0.002,143,100,2.4000000000000004
216,0.003,144,99,1.8
218,0.002,145,98,1.8
220,0.002,147,98,0.0
